lr_pair,ligand_gene_symbol,WT_MEF.x,WT_BMDM.x,log2diff.x,receptor_gene_symbol,WT_MEF.y,WT_BMDM.y,log2diff.y,m1
Pdyn_Oprk1,Pdyn,0,0,0,Oprk1,0.0776877,0,0.107939164233939,0.107939164233939
Ihh_Ptch2,Ihh,0.0781219,0.161737,-0.107763192477826,Ptch2,0,0,0,0.107763192477826
Sst_Sstr5,Sst,0,0,0,Sstr5,0,0.0771267,-0.107187960848417,0.107187960848417
Lipc_Scarb1,Lipc,0,0.740244,-0.799289600850205,Scarb1,47.064089,76.65849983,-0.692184448820781,0.107105152029424
Zp3_Zp3r,Zp3,0.0769278,0,0.106921531150888,Zp3r,0,0,0,0.106921531150888
Mif_Cd44,Mif,721.55364,805.74112,-0.159001100184517,Cd44,185.139953,222.431201,-0.263442916633299,0.104441816448782
Dspp_Itgb6,Dspp,0.0423678,0,0.0598644231151632,Itgb6,0.120179,0,0.163729287441971,0.103864864326808
Tnfsf15_Tnfrsf25,Tnfsf15,1.55926,0.0881165,1.23389369283254,Tnfrsf25,1.193671,0,1.13334717101928,0.10054652181326
Prl7a1_Prlr,Prl7a1,0.117678092,0,0.16050473026693,Prlr,0.2316863,0.028572,0.259992074695319,0.099487344428389
Oxt_Oxtr,Oxt,0.178011,0,0.236353010790917,Oxtr,0.0995811,0,0.136954014609367,0.09939899618155
Fgf4_Nrp1,Fgf4,0,0,0,Nrp1,135.2608767,126.2424643,0.0987911763010896,0.0987911763010896
Qrfp_Qrfpr,Qrfp,0,0.135111,-0.182833382379147,Qrfpr,0,0.0607147,-0.0850366673325402,0.0977967150466068
Bmp5_Bmpr2,Bmp5,0.525087,0,0.608891544897455,Bmpr2,16.191424,9.53703,0.706220769309983,0.097329224412528
Nppc_Npr1,Nppc,0,0.104277,-0.143102107261376,Npr1,0.225178344,0.2661694,-0.0474786634380764,0.0956234438232996
Calr_Mpl,Calr,1500.64836,1531.67034,-0.0295004055687329,Mpl,0.0466162,0,0.065732494925941,0.0952329004946739
Egf_Erbb4,Egf,0.891959741,0.399643,0.434822496883573,Erbb4,0.2653996,0,0.339593044921375,0.095229451962198
Vegfb_Nrp1,Vegfb,52.03516,45.39563,0.192960196358397,Nrp1,135.2608767,126.2424643,0.0987911763010896,0.0941690200573074
Gng3_Kcnj6,Gng3,0.213102,0.293812,-0.0929271386121605,Kcnj6,0,0,0,0.0929271386121605
Nts_Ngfr,Nts,0,0,0,Ngfr,0.247788,0.170996,0.0916366924342372,0.0916366924342372
Bmp8a_Bmpr2,Bmp8a,0.531333,0,0.614788041955674,Bmpr2,16.191424,9.53703,0.706220769309983,0.091432727354309
Nrtn_Gfra2,Nrtn,0.20624,0,0.270516982165,Gfra2,0.164391,0.028361,0.179228790562371,0.091288191602629
Nlgn1_Nrxn2,Nlgn1,0.0316463,0.016145,0.0218421435893128,Nrxn2,0.0810982,0,0.112497574153511,0.0906554305641982
Nlgn1_Nrxn2,Nlgn1,0.0316463,0.016145,0.0218421435893128,Nrxn2,0.0810982,0,0.112497574153511,0.0906554305641982
Prl6a1_Prlr,Prl6a1,0.125133,0,0.170095549974921,Prlr,0.2316863,0.028572,0.259992074695319,0.089896524720398
Pdcd1lg2_Pdcd1,Pdcd1lg2,0,0.0625287,-0.0875018104630152,Pdcd1,0,0,0,0.0875018104630152
Adam17_Tnfrsf1b,Adam17,33.220843,98.554446,-1.54061044690033,Tnfrsf1b,37.3958,117.539771,-1.62635076290436,0.08574031600403
Il11_Il11ra1,Il11,2.456165,0.0567029,1.70960228539978,Il11ra1,102.169179,28.750651,1.7940188983114,0.08441661291162
Cd200_Cd200r2,Cd200,0.246531,0.38385,-0.150768811361617,Cd200r2,0.0653586,0.117303,-0.0686813577922821,0.0820874535693349
Wnt8b_Fzd10,Wnt8b,0,0,0,Fzd10,0.0584664,0,0.0819754731029374,0.0819754731029374
Bmp8b_Bmpr2,Bmp8b,0.865011,0.0802668,0.787796472166338,Bmpr2,16.191424,9.53703,0.706220769309983,0.081575702856355
Pyy_Npy5r,Pyy,0,0,0,Npy5r,0.0577583,0,0.0810100062538086,0.0810100062538086
